"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"1999"	"1999"	31	42963	72.2
	"Autauga County, AL"	"01001"	"2000"	"2000"	32	43671	73.3
	"Autauga County, AL"	"01001"	"2001"	"2001"	36	44889	80.2
	"Autauga County, AL"	"01001"	"2002"	"2002"	29	45909	63.2
	"Autauga County, AL"	"01001"	"2003"	"2003"	36	46800	76.9
	"Autauga County, AL"	"01001"	"2004"	"2004"	30	48366	62.0
	"Autauga County, AL"	"01001"	"2005"	"2005"	35	49676	70.5
	"Autauga County, AL"	"01001"	"2006"	"2006"	44	51328	85.7
	"Autauga County, AL"	"01001"	"2007"	"2007"	37	52405	70.6
	"Autauga County, AL"	"01001"	"2008"	"2008"	37	53277	69.4
	"Autauga County, AL"	"01001"	"2009"	"2009"	33	54135	61.0
	"Autauga County, AL"	"01001"	"2010"	"2010"	36	54571	66.0
	"Autauga County, AL"	"01001"	"2011"	"2011"	57	55255	103.2
	"Autauga County, AL"	"01001"	"2012"	"2012"	39	55027	70.9
	"Autauga County, AL"	"01001"	"2013"	"2013"	47	54792	85.8
	"Autauga County, AL"	"01001"	"2014"	"2014"	36	54977	65.5
	"Autauga County, AL"	"01001"	"2015"	"2015"	36	55035	65.4
	"Autauga County, AL"	"01001"	"2016"	"2016"	47	55416	84.8
	"Baldwin County, AL"	"01003"	"1999"	"1999"	97	137555	70.5
	"Baldwin County, AL"	"01003"	"2000"	"2000"	100	140415	71.2
	"Baldwin County, AL"	"01003"	"2001"	"2001"	102	144875	70.4
	"Baldwin County, AL"	"01003"	"2002"	"2002"	132	147957	89.2
	"Baldwin County, AL"	"01003"	"2003"	"2003"	110	151509	72.6
	"Baldwin County, AL"	"01003"	"2004"	"2004"	122	156266	78.1
	"Baldwin County, AL"	"01003"	"2005"	"2005"	130	162183	80.2
	"Baldwin County, AL"	"01003"	"2006"	"2006"	139	168121	82.7
	"Baldwin County, AL"	"01003"	"2007"	"2007"	122	172404	70.8
	"Baldwin County, AL"	"01003"	"2008"	"2008"	148	175827	84.2
	"Baldwin County, AL"	"01003"	"2009"	"2009"	140	179406	78.0
	"Baldwin County, AL"	"01003"	"2010"	"2010"	124	182265	68.0
	"Baldwin County, AL"	"01003"	"2011"	"2011"	133	186653	71.3
	"Baldwin County, AL"	"01003"	"2012"	"2012"	141	190403	74.1
	"Baldwin County, AL"	"01003"	"2013"	"2013"	126	195147	64.6
	"Baldwin County, AL"	"01003"	"2014"	"2014"	148	199745	74.1
	"Baldwin County, AL"	"01003"	"2015"	"2015"	161	203690	79.0
	"Baldwin County, AL"	"01003"	"2016"	"2016"	150	208563	71.9
	"Barbour County, AL"	"01005"	"1999"	"1999"	24	28866	83.1
	"Barbour County, AL"	"01005"	"2000"	"2000"	18	29038	62.0 (Unreliable)
	"Barbour County, AL"	"01005"	"2001"	"2001"	27	28863	93.5
	"Barbour County, AL"	"01005"	"2002"	"2002"	29	28653	101.2
	"Barbour County, AL"	"01005"	"2003"	"2003"	16	28594	56.0 (Unreliable)
	"Barbour County, AL"	"01005"	"2004"	"2004"	20	28287	70.7
	"Barbour County, AL"	"01005"	"2005"	"2005"	26	28027	92.8
	"Barbour County, AL"	"01005"	"2006"	"2006"	14	27861	50.2 (Unreliable)
	"Barbour County, AL"	"01005"	"2007"	"2007"	16	27757	57.6 (Unreliable)
	"Barbour County, AL"	"01005"	"2008"	"2008"	Suppressed	27808	Suppressed
	"Barbour County, AL"	"01005"	"2009"	"2009"	18	27657	65.1 (Unreliable)
	"Barbour County, AL"	"01005"	"2010"	"2010"	18	27457	65.6 (Unreliable)
	"Barbour County, AL"	"01005"	"2011"	"2011"	19	27326	69.5 (Unreliable)
	"Barbour County, AL"	"01005"	"2012"	"2012"	14	27132	51.6 (Unreliable)
	"Barbour County, AL"	"01005"	"2013"	"2013"	18	26938	66.8 (Unreliable)
	"Barbour County, AL"	"01005"	"2014"	"2014"	21	26763	78.5
	"Barbour County, AL"	"01005"	"2015"	"2015"	21	26270	79.9
	"Barbour County, AL"	"01005"	"2016"	"2016"	17	25965	65.5 (Unreliable)
	"Bibb County, AL"	"01007"	"1999"	"1999"	19	20560	92.4 (Unreliable)
	"Bibb County, AL"	"01007"	"2000"	"2000"	18	20826	86.4 (Unreliable)
	"Bibb County, AL"	"01007"	"2001"	"2001"	12	21028	57.1 (Unreliable)
	"Bibb County, AL"	"01007"	"2002"	"2002"	21	21199	99.1
	"Bibb County, AL"	"01007"	"2003"	"2003"	23	21399	107.5
	"Bibb County, AL"	"01007"	"2004"	"2004"	28	21721	128.9
	"Bibb County, AL"	"01007"	"2005"	"2005"	19	22042	86.2 (Unreliable)
	"Bibb County, AL"	"01007"	"2006"	"2006"	25	22099	113.1
	"Bibb County, AL"	"01007"	"2007"	"2007"	24	22438	107.0
	"Bibb County, AL"	"01007"	"2008"	"2008"	24	22705	105.7
	"Bibb County, AL"	"01007"	"2009"	"2009"	20	22941	87.2
	"Bibb County, AL"	"01007"	"2010"	"2010"	19	22915	82.9 (Unreliable)
	"Bibb County, AL"	"01007"	"2011"	"2011"	14	22736	61.6 (Unreliable)
	"Bibb County, AL"	"01007"	"2012"	"2012"	16	22645	70.7 (Unreliable)
	"Bibb County, AL"	"01007"	"2013"	"2013"	16	22501	71.1 (Unreliable)
	"Bibb County, AL"	"01007"	"2014"	"2014"	25	22511	111.1
	"Bibb County, AL"	"01007"	"2015"	"2015"	22	22561	97.5
	"Bibb County, AL"	"01007"	"2016"	"2016"	30	22643	132.5
	"Blount County, AL"	"01009"	"1999"	"1999"	37	50237	73.7
	"Blount County, AL"	"01009"	"2000"	"2000"	35	51024	68.6
	"Blount County, AL"	"01009"	"2001"	"2001"	37	51845	71.4
	"Blount County, AL"	"01009"	"2002"	"2002"	39	52551	74.2
	"Blount County, AL"	"01009"	"2003"	"2003"	49	53457	91.7
	"Blount County, AL"	"01009"	"2004"	"2004"	43	54124	79.4
	"Blount County, AL"	"01009"	"2005"	"2005"	42	54624	76.9
	"Blount County, AL"	"01009"	"2006"	"2006"	42	55485	75.7
	"Blount County, AL"	"01009"	"2007"	"2007"	57	56240	101.4
	"Blount County, AL"	"01009"	"2008"	"2008"	61	57055	106.9
	"Blount County, AL"	"01009"	"2009"	"2009"	52	57341	90.7
	"Blount County, AL"	"01009"	"2010"	"2010"	46	57322	80.2
	"Blount County, AL"	"01009"	"2011"	"2011"	48	57707	83.2
	"Blount County, AL"	"01009"	"2012"	"2012"	62	57772	107.3
	"Blount County, AL"	"01009"	"2013"	"2013"	52	57746	90.0
	"Blount County, AL"	"01009"	"2014"	"2014"	54	57621	93.7
	"Blount County, AL"	"01009"	"2015"	"2015"	65	57676	112.7
	"Blount County, AL"	"01009"	"2016"	"2016"	70	57704	121.3
	"Bullock County, AL"	"01011"	"1999"	"1999"	11	11755	93.6 (Unreliable)
	"Bullock County, AL"	"01011"	"2000"	"2000"	16	11714	136.6 (Unreliable)
	"Bullock County, AL"	"01011"	"2001"	"2001"	Suppressed	11358	Suppressed
	"Bullock County, AL"	"01011"	"2002"	"2002"	16	11256	142.1 (Unreliable)
	"Bullock County, AL"	"01011"	"2003"	"2003"	Suppressed	11316	Suppressed
	"Bullock County, AL"	"01011"	"2004"	"2004"	12	11056	108.5 (Unreliable)
	"Bullock County, AL"	"01011"	"2005"	"2005"	Suppressed	11011	Suppressed
	"Bullock County, AL"	"01011"	"2006"	"2006"	14	10776	129.9 (Unreliable)
	"Bullock County, AL"	"01011"	"2007"	"2007"	13	11011	118.1 (Unreliable)
	"Bullock County, AL"	"01011"	"2008"	"2008"	Suppressed	10953	Suppressed
	"Bullock County, AL"	"01011"	"2009"	"2009"	10	10987	91.0 (Unreliable)
	"Bullock County, AL"	"01011"	"2010"	"2010"	10	10914	91.6 (Unreliable)
	"Bullock County, AL"	"01011"	"2011"	"2011"	Suppressed	10722	Suppressed
	"Bullock County, AL"	"01011"	"2012"	"2012"	Suppressed	10654	Suppressed
	"Bullock County, AL"	"01011"	"2013"	"2013"	12	10576	113.5 (Unreliable)
	"Bullock County, AL"	"01011"	"2014"	"2014"	13	10712	121.4 (Unreliable)
	"Bullock County, AL"	"01011"	"2015"	"2015"	13	10455	124.3 (Unreliable)
	"Bullock County, AL"	"01011"	"2016"	"2016"	13	10362	125.5 (Unreliable)
	"Butler County, AL"	"01013"	"1999"	"1999"	19	21605	87.9 (Unreliable)
	"Butler County, AL"	"01013"	"2000"	"2000"	23	21399	107.5
	"Butler County, AL"	"01013"	"2001"	"2001"	14	21139	66.2 (Unreliable)
	"Butler County, AL"	"01013"	"2002"	"2002"	14	20803	67.3 (Unreliable)
	"Butler County, AL"	"01013"	"2003"	"2003"	22	20833	105.6
	"Butler County, AL"	"01013"	"2004"	"2004"	25	20870	119.8
	"Butler County, AL"	"01013"	"2005"	"2005"	25	20830	120.0
	"Butler County, AL"	"01013"	"2006"	"2006"	15	20815	72.1 (Unreliable)
	"Butler County, AL"	"01013"	"2007"	"2007"	15	20894	71.8 (Unreliable)
	"Butler County, AL"	"01013"	"2008"	"2008"	16	20949	76.4 (Unreliable)
	"Butler County, AL"	"01013"	"2009"	"2009"	13	20867	62.3 (Unreliable)
	"Butler County, AL"	"01013"	"2010"	"2010"	17	20947	81.2 (Unreliable)
	"Butler County, AL"	"01013"	"2011"	"2011"	16	20848	76.7 (Unreliable)
	"Butler County, AL"	"01013"	"2012"	"2012"	24	20665	116.1
	"Butler County, AL"	"01013"	"2013"	"2013"	12	20330	59.0 (Unreliable)
	"Butler County, AL"	"01013"	"2014"	"2014"	20	20283	98.6
	"Butler County, AL"	"01013"	"2015"	"2015"	21	20126	104.3
	"Butler County, AL"	"01013"	"2016"	"2016"	22	19998	110.0
	"Calhoun County, AL"	"01015"	"1999"	"1999"	99	114910	86.2
	"Calhoun County, AL"	"01015"	"2000"	"2000"	91	112249	81.1
	"Calhoun County, AL"	"01015"	"2001"	"2001"	93	111266	83.6
	"Calhoun County, AL"	"01015"	"2002"	"2002"	71	111625	63.6
	"Calhoun County, AL"	"01015"	"2003"	"2003"	96	112705	85.2
	"Calhoun County, AL"	"01015"	"2004"	"2004"	87	113462	76.7
	"Calhoun County, AL"	"01015"	"2005"	"2005"	109	114477	95.2
	"Calhoun County, AL"	"01015"	"2006"	"2006"	97	115388	84.1
	"Calhoun County, AL"	"01015"	"2007"	"2007"	100	116211	86.1
	"Calhoun County, AL"	"01015"	"2008"	"2008"	102	117274	87.0
	"Calhoun County, AL"	"01015"	"2009"	"2009"	90	118363	76.0
	"Calhoun County, AL"	"01015"	"2010"	"2010"	78	118572	65.8
	"Calhoun County, AL"	"01015"	"2011"	"2011"	119	117736	101.1
	"Calhoun County, AL"	"01015"	"2012"	"2012"	77	117208	65.7
	"Calhoun County, AL"	"01015"	"2013"	"2013"	73	116475	62.7
	"Calhoun County, AL"	"01015"	"2014"	"2014"	88	115837	76.0
	"Calhoun County, AL"	"01015"	"2015"	"2015"	99	115285	85.9
	"Calhoun County, AL"	"01015"	"2016"	"2016"	100	114611	87.3
	"Chambers County, AL"	"01017"	"1999"	"1999"	40	36527	109.5
